file,line,data_class,generated_class,bases,default_initializer,default_scaler,declares_initializer,declares_scaler
idaes/models/properties/interrogator/reactions_interrogator.py,275,InterrogatorReactionBlockData,InterrogatorReactionBlock,ReactionBlockDataBase,,,False,False
idaes/models/properties/modular_properties/base/generic_property.py,992,GenericParameterData,GenericParameterBlock,PhysicalParameterBlock,,,False,False
idaes/models/properties/modular_properties/base/generic_property.py,2985,GenericStateBlockData,GenericStateBlock,StateBlockData,ModularPropertiesInitializer,,True,False
idaes/models/properties/modular_properties/base/generic_reaction.py,247,GenericReactionParameterData,GenericReactionParameterBlock,ReactionParameterBlock,,,False,False
idaes/models/properties/modular_properties/base/generic_reaction.py,624,GenericReactionBlockData,GenericReactionBlock,ReactionBlockDataBase,,ModularReactionScaler,False,True
idaes/models/properties/swco2.py,72,SWCO2ParameterBlockData,SWCO2ParameterBlock,HelmholtzParameterBlockData,,,False,False
idaes/models/properties/swco2.py,86,SWCO2StateBlockData,SWCO2StateBlock,HelmholtzStateBlockData,,,False,False
idaes/models/unit_models/cstr.py,175,CSTRData,CSTR,UnitModelBlockData,,CSTRScaler,False,True
idaes/models/unit_models/equilibrium_reactor.py,247,EquilibriumReactorData,EquilibriumReactor,UnitModelBlockData,,EquilibriumReactorScaler,False,True
idaes/models/unit_models/feed.py,95,FeedData,Feed,UnitModelBlockData,FeedInitializer,FeedScaler,True,True
idaes/models/unit_models/feed_flash.py,103,FeedFlashData,FeedFlash,UnitModelBlockData,,FeedFlashScaler,False,True
idaes/models/unit_models/flash.py,97,FlashData,Flash,UnitModelBlockData,,FlashScaler,False,True
idaes/models/unit_models/gibbs_reactor.py,191,GibbsReactorData,GibbsReactor,UnitModelBlockData,,GibbsReactorScaler,False,True
idaes/models/unit_models/heat_exchanger.py,616,HeatExchangerData,HeatExchanger,UnitModelBlockData,HX0DInitializer,HX0DScaler,True,True
idaes/models/unit_models/heat_exchanger_1D.py,283,HeatExchanger1DData,HeatExchanger1D,UnitModelBlockData,HX1DInitializer,HX1DScaler,True,True
idaes/models/unit_models/heat_exchanger_lc.py,31,HeatExchangerLumpedCapacitanceData,HeatExchangerLumpedCapacitance,HeatExchangerData,,,False,False
idaes/models/unit_models/heat_exchanger_ntu.py,166,HeatExchangerNTUData,HeatExchangerNTU,UnitModelBlockData,HXNTUInitializer,,True,False
idaes/models/unit_models/heater.py,245,HeaterData,Heater,UnitModelBlockData,,HeaterScaler,False,True
idaes/models/unit_models/mixer.py,303,MixerData,Mixer,UnitModelBlockData,MixerInitializer,MixerScaler,True,True
idaes/models/unit_models/mscontactor.py,972,MSContactorData,MSContactor,UnitModelBlockData,MSContactorInitializer,MSContactorScaler,True,True
idaes/models/unit_models/pipe.py,97,PipeData,Pipe,UnitModelBlockData,,PipeScaler,False,True
idaes/models/unit_models/plug_flow_reactor.py,106,PFRData,PFR,UnitModelBlockData,,PFRScaler,False,True
idaes/models/unit_models/pressure_changer.py,255,IsentropicPerformanceCurveData,IsentropicPerformanceCurve,ProcessBlockData,,,False,False
idaes/models/unit_models/pressure_changer.py,438,PressureChangerData,PressureChanger,UnitModelBlockData,,PressureChangerScaler,False,True
idaes/models/unit_models/pressure_changer.py,1445,TurbineData,Turbine,PressureChangerData,IsentropicPressureChangerInitializer,,True,False
idaes/models/unit_models/pressure_changer.py,1461,CompressorData,Compressor,PressureChangerData,IsentropicPressureChangerInitializer,,True,False
idaes/models/unit_models/pressure_changer.py,1475,PumpData,Pump,PressureChangerData,,,False,False
idaes/models/unit_models/product.py,42,ProductData,Product,UnitModelBlockData,ProductInitializer,ProductScaler,True,True
idaes/models/unit_models/separator.py,637,SeparatorData,Separator,UnitModelBlockData,SeparatorInitializer,SeparatorScaler,True,True
idaes/models/unit_models/shell_and_tube_1d.py,153,ShellAndTube1DData,ShellAndTube1D,HeatExchanger1DData,ShellAndTubeInitializer,,True,False
idaes/models/unit_models/skeleton_model.py,39,SkeletonUnitModelData,SkeletonUnitModel,ProcessBlockData,BlockTriangularizationInitializer,,True,False
idaes/models/unit_models/solid_liquid/sl_separator.py,122,SLSeparatorData,SLSeparator,UnitModelBlockData,BlockTriangularizationInitializer,SLSeparatorScaler,True,True
idaes/models/unit_models/solid_liquid/thickener.py,67,Thickener0DData,Thickener0D,UnitModelBlockData,BlockTriangularizationInitializer,,True,False
idaes/models/unit_models/statejunction.py,39,StateJunctionData,StateJunction,UnitModelBlockData,StateJunctionInitializer,StateJunctionScaler,True,True
idaes/models/unit_models/stoichiometric_reactor.py,83,StoichiometricReactorData,StoichiometricReactor,UnitModelBlockData,,StoichiometricReactorScaler,False,True
idaes/models/unit_models/stream_scaler.py,52,StreamScalerData,StreamScaler,UnitModelBlockData,StreamScalerInitializer,,True,False
idaes/models/unit_models/translator.py,37,TranslatorData,Translator,UnitModelBlockData,BlockTriangularizationInitializer,,True,False
idaes/models/unit_models/valve.py,114,ValveData,Valve,PressureChangerData,,,False,False
idaes/models_extra/co2_capture_and_utilization/unit_models/membrane_1d.py,54,Membrane1DData,Membrane1D,UnitModelBlockData,,,False,False
idaes/models_extra/column_models/MEAsolvent_column.py,64,MEAColumnData,MEAColumn,PackedColumnData,,,False,False
idaes/models_extra/column_models/condenser.py,79,CondenserData,Condenser,UnitModelBlockData,,,False,False
idaes/models_extra/column_models/plate_heat_exchanger.py,73,PlateHeatExchangerData,PlateHeatExchanger,HeatExchangerNTUData,,,False,False
idaes/models_extra/column_models/reboiler.py,62,ReboilerData,Reboiler,UnitModelBlockData,,,False,False
idaes/models_extra/column_models/solvent_column.py,59,PackedColumnData,PackedColumn,UnitModelBlockData,,,False,False
idaes/models_extra/column_models/solvent_condenser.py,60,SolventCondenserData,SolventCondenser,UnitModelBlockData,,,False,False
idaes/models_extra/column_models/solvent_reboiler.py,193,SolventReboilerData,SolventReboiler,UnitModelBlockData,SolventReboilerInitializer,,True,False
idaes/models_extra/column_models/tray.py,53,TrayData,Tray,UnitModelBlockData,,,False,False
idaes/models_extra/column_models/tray_column.py,48,TrayColumnData,TrayColumn,UnitModelBlockData,,,False,False
idaes/models_extra/gas_distribution/properties/natural_gas.py,54,NaturalGasParameterBlockData,NaturalGasParameterBlock,PhysicalParameterBlock,,,False,False
idaes/models_extra/gas_distribution/properties/natural_gas.py,176,NaturalGasStateBlockData,NaturalGasStateBlock,StateBlockData,,,False,False
idaes/models_extra/gas_distribution/unit_models/compressor.py,40,IsothermalCompressorData,IsothermalCompressor,UnitModelBlockData,,,False,False
idaes/models_extra/gas_distribution/unit_models/node.py,40,PipelineNodeData,PipelineNode,UnitModelBlockData,,,False,False
idaes/models_extra/gas_distribution/unit_models/pipeline.py,65,GasPipelineData,GasPipeline,UnitModelBlockData,,,False,False
idaes/models_extra/gas_solid_contactors/properties/methane_iron_OC_reduction/gas_phase_thermo.py,78,PhysicalParameterData,GasPhaseParameterBlock,PhysicalParameterBlock,,,False,False
idaes/models_extra/gas_solid_contactors/properties/methane_iron_OC_reduction/gas_phase_thermo.py,564,GasPhaseStateBlockData,GasPhaseStateBlock,StateBlockData,,,False,False
idaes/models_extra/gas_solid_contactors/properties/methane_iron_OC_reduction/hetero_reactions.py,79,ReactionParameterData,HeteroReactionParameterBlock,ReactionParameterBlock,,,False,False
idaes/models_extra/gas_solid_contactors/properties/methane_iron_OC_reduction/hetero_reactions.py,361,ReactionBlockData,ReactionBlock,ReactionBlockDataBase,,,False,False
idaes/models_extra/gas_solid_contactors/properties/methane_iron_OC_reduction/solid_phase_thermo.py,74,PhysicalParameterData,SolidPhaseParameterBlock,PhysicalParameterBlock,,,False,False
idaes/models_extra/gas_solid_contactors/properties/methane_iron_OC_reduction/solid_phase_thermo.py,481,SolidPhaseStateBlockData,SolidPhaseStateBlock,StateBlockData,,,False,False
idaes/models_extra/gas_solid_contactors/properties/oxygen_iron_OC_oxidation/gas_phase_thermo.py,81,PhysicalParameterData,GasPhaseParameterBlock,PhysicalParameterBlock,,,False,False
idaes/models_extra/gas_solid_contactors/properties/oxygen_iron_OC_oxidation/gas_phase_thermo.py,588,GasPhaseStateBlockData,GasPhaseStateBlock,StateBlockData,,,False,False
idaes/models_extra/gas_solid_contactors/properties/oxygen_iron_OC_oxidation/hetero_reactions.py,79,ReactionParameterData,HeteroReactionParameterBlock,ReactionParameterBlock,,,False,False
idaes/models_extra/gas_solid_contactors/properties/oxygen_iron_OC_oxidation/hetero_reactions.py,362,ReactionBlockData,ReactionBlock,ReactionBlockDataBase,,,False,False
idaes/models_extra/gas_solid_contactors/properties/oxygen_iron_OC_oxidation/solid_phase_thermo.py,74,PhysicalParameterData,SolidPhaseParameterBlock,PhysicalParameterBlock,,,False,False
idaes/models_extra/gas_solid_contactors/properties/oxygen_iron_OC_oxidation/solid_phase_thermo.py,477,SolidPhaseStateBlockData,SolidPhaseStateBlock,StateBlockData,,,False,False
idaes/models_extra/gas_solid_contactors/unit_models/bubbling_fluidized_bed.py,87,BubblingFluidizedBedData,BubblingFluidizedBed,UnitModelBlockData,,,False,False
idaes/models_extra/gas_solid_contactors/unit_models/fixed_bed_0D.py,51,FixedBed0DData,FixedBed0D,UnitModelBlockData,,,False,False
idaes/models_extra/gas_solid_contactors/unit_models/fixed_bed_1D.py,82,FixedBed1DData,FixedBed1D,UnitModelBlockData,,,False,False
idaes/models_extra/gas_solid_contactors/unit_models/moving_bed.py,91,MBRData,MBR,UnitModelBlockData,,,False,False
idaes/models_extra/power_generation/costing/power_plant_capcost.py,112,QGESSCostingData,QGESSCosting,FlowsheetCostingBlockData,,,False,False
idaes/models_extra/power_generation/costing/power_plant_costing.py,58,PowerPlantCostingData,PowerPlantCosting,QGESSCostingData,,,False,False
idaes/models_extra/power_generation/properties/flue_gas_ideal.py,72,FlueGasParameterData,FlueGasParameterBlock,PhysicalParameterBlock,,,False,False
idaes/models_extra/power_generation/properties/flue_gas_ideal.py,577,FlueGasStateBlockData,FlueGasStateBlock,StateBlockData,,,False,False
idaes/models_extra/power_generation/unit_models/balance.py,219,BalanceBlockData,BalanceBlock,UnitModelBlockData,,,False,False
idaes/models_extra/power_generation/unit_models/boiler_fireside.py,103,BoilerFiresideData,BoilerFireside,UnitModelBlockData,,,False,False
idaes/models_extra/power_generation/unit_models/boiler_heat_exchanger.py,95,BoilerHeatExchangerData,BoilerHeatExchanger,HeatExchangerData,,,False,False
idaes/models_extra/power_generation/unit_models/boiler_heat_exchanger_2D.py,74,HeatExchangerCrossFlow2D_HeaderData,HeatExchangerCrossFlow2D_Header,UnitModelBlockData,,,False,False
idaes/models_extra/power_generation/unit_models/cpu.py,64,CarbonProcessingUnitData,CarbonProcessingUnit,UnitModelBlockData,,,False,False
idaes/models_extra/power_generation/unit_models/cross_flow_heat_exchanger_1D.py,406,CrossFlowHeatExchanger1DData,CrossFlowHeatExchanger1D,HeatExchanger1DData,CrossFlowHeatExchanger1DInitializer,,True,False
idaes/models_extra/power_generation/unit_models/downcomer.py,56,DowncomerData,Downcomer,UnitModelBlockData,,,False,False
idaes/models_extra/power_generation/unit_models/drum.py,85,DrumData,Drum,UnitModelBlockData,,,False,False
idaes/models_extra/power_generation/unit_models/drum1D.py,118,Drum1DData,Drum1D,UnitModelBlockData,,,False,False
idaes/models_extra/power_generation/unit_models/feedwater_heater_0D.py,154,FWHCondensing0DData,FWHCondensing0D,HeatExchangerData,,,False,False
idaes/models_extra/power_generation/unit_models/feedwater_heater_0D.py,227,FWH0DData,FWH0D,UnitModelBlockData,,,False,False
idaes/models_extra/power_generation/unit_models/feedwater_heater_0D_dynamic.py,146,FWHCondensing0DData,FWHCondensing0D,CondenserData,,,False,False
idaes/models_extra/power_generation/unit_models/feedwater_heater_0D_dynamic.py,254,FWH0DDynamicData,FWH0DDynamic,UnitModelBlockData,,,False,False
idaes/models_extra/power_generation/unit_models/heat_exchanger_3streams.py,42,HeatExchangerWith3StreamsData,HeatExchangerWith3Streams,UnitModelBlockData,,,False,False
idaes/models_extra/power_generation/unit_models/heater_1D.py,160,Heater1DData,Heater1D,UnitModelBlockData,Heater1DInitializer,,True,False
idaes/models_extra/power_generation/unit_models/helm/compressor.py,54,HelmIsentropicCompressorData,HelmIsentropicCompressor,BalanceBlockData,,,False,False
idaes/models_extra/power_generation/unit_models/helm/condenser_ntu.py,84,HelmNtuCondenserData,HelmNtuCondenser,UnitModelBlockData,,,False,False
idaes/models_extra/power_generation/unit_models/helm/mixer.py,44,HelmMixerData,HelmMixer,UnitModelBlockData,,,False,False
idaes/models_extra/power_generation/unit_models/helm/phase_separator.py,39,WaterFlashData,HelmPhaseSeparator,UnitModelBlockData,,,False,False
idaes/models_extra/power_generation/unit_models/helm/pump.py,52,HelmPumpData,HelmPump,BalanceBlockData,,,False,False
idaes/models_extra/power_generation/unit_models/helm/splitter.py,51,HelmSplitterData,HelmSplitter,UnitModelBlockData,,,False,False
idaes/models_extra/power_generation/unit_models/helm/turbine.py,54,HelmIsentropicTurbineData,HelmIsentropicTurbine,BalanceBlockData,,,False,False
idaes/models_extra/power_generation/unit_models/helm/turbine_inlet.py,43,HelmTurbineInletStageData,HelmTurbineInletStage,HelmIsentropicTurbineData,,,False,False
idaes/models_extra/power_generation/unit_models/helm/turbine_multistage.py,252,HelmTurbineMultistageData,HelmTurbineMultistage,UnitModelBlockData,,,False,False
idaes/models_extra/power_generation/unit_models/helm/turbine_outlet.py,44,HelmTurbineOutletStageData,HelmTurbineOutletStage,HelmIsentropicTurbineData,,,False,False
idaes/models_extra/power_generation/unit_models/helm/turbine_stage.py,40,HelmTurbineStageData,HelmTurbineStage,HelmIsentropicTurbineData,,,False,False
idaes/models_extra/power_generation/unit_models/helm/valve_steam.py,106,HelmValveData,HelmValve,BalanceBlockData,,,False,False
idaes/models_extra/power_generation/unit_models/soc_submodels/channel.py,83,SocChannelData,SocChannel,UnitModelBlockData,,,False,False
idaes/models_extra/power_generation/unit_models/soc_submodels/conductive_slab.py,57,SocConductiveSlabData,SocConductiveSlab,UnitModelBlockData,,,False,False
idaes/models_extra/power_generation/unit_models/soc_submodels/contact_resistor.py,53,SocContactResistorData,SocContactResistor,UnitModelBlockData,,,False,False
idaes/models_extra/power_generation/unit_models/soc_submodels/porous_conductive_slab.py,84,PorousConductiveSlabData,PorousConductiveSlab,UnitModelBlockData,,,False,False
idaes/models_extra/power_generation/unit_models/soc_submodels/solid_oxide_cell.py,141,SolidOxideCellData,SolidOxideCell,UnitModelBlockData,,,False,False
idaes/models_extra/power_generation/unit_models/soc_submodels/solid_oxide_module_simple.py,65,SolidOxideModuleSimpleData,SolidOxideModuleSimple,UnitModelBlockData,,,False,False
idaes/models_extra/power_generation/unit_models/soc_submodels/triple_phase_boundary.py,77,SocTriplePhaseBoundaryData,SocTriplePhaseBoundary,UnitModelBlockData,,,False,False
idaes/models_extra/power_generation/unit_models/soec_design.py,46,SoecDesignData,SoecDesign,UnitModelBlockData,,,False,False
idaes/models_extra/power_generation/unit_models/steamheater.py,54,SteamHeaterData,SteamHeater,UnitModelBlockData,,,False,False
idaes/models_extra/power_generation/unit_models/waterpipe.py,54,WaterPipeData,WaterPipe,UnitModelBlockData,,,False,False
idaes/models_extra/power_generation/unit_models/watertank.py,64,WaterTankData,WaterTank,UnitModelBlockData,,,False,False
idaes/models_extra/power_generation/unit_models/waterwall_section.py,67,WaterwallSectionData,WaterwallSection,UnitModelBlockData,,,False,False
idaes/models_extra/temperature_swing_adsorption/fixed_bed_tsa0d.py,124,FixedBedTSA0DData,FixedBedTSA0D,UnitModelBlockData,,,False,False
