file,marker,count
idaes/core/util/diagnostics_tools/tests/test_degeneracy_hunter.py,component,6
idaes/core/util/diagnostics_tools/tests/test_degeneracy_hunter.py,skipif,1
idaes/core/util/diagnostics_tools/tests/test_degeneracy_hunter.py,solver,5
idaes/core/util/diagnostics_tools/tests/test_degeneracy_hunter.py,unit,6
idaes/core/util/diagnostics_tools/tests/test_diagnostics_toolbox.py,component,45
idaes/core/util/diagnostics_tools/tests/test_diagnostics_toolbox.py,integration,2
idaes/core/util/diagnostics_tools/tests/test_diagnostics_toolbox.py,skipif,2
idaes/core/util/diagnostics_tools/tests/test_diagnostics_toolbox.py,solver,1
idaes/core/util/diagnostics_tools/tests/test_diagnostics_toolbox.py,unit,1
idaes/core/util/diagnostics_tools/tests/test_diagnostics_toolbox_with_none_values.py,unit,4
idaes/core/util/diagnostics_tools/tests/test_evaluation_error.py,unit,50
idaes/core/util/diagnostics_tools/tests/test_evaluation_error_integration.py,unit,12
idaes/core/util/diagnostics_tools/tests/test_ill_conditioning.py,component,3
idaes/core/util/diagnostics_tools/tests/test_ill_conditioning.py,solver,3
idaes/core/util/diagnostics_tools/tests/test_ill_conditioning.py,unit,2
idaes/core/util/diagnostics_tools/tests/test_infeasibility_explanation_integration.py,component,1
idaes/core/util/diagnostics_tools/tests/test_infeasibility_explanation_integration.py,solver,1
idaes/core/util/diagnostics_tools/tests/test_ipopt_halt_on_error.py,component,1
idaes/core/util/diagnostics_tools/tests/test_svd_toolbox.py,component,1
idaes/core/util/diagnostics_tools/tests/test_svd_toolbox.py,skipif,1
idaes/core/util/diagnostics_tools/tests/test_svd_toolbox.py,unit,17
idaes/core/util/diagnostics_tools/tests/test_utils.py,unit,13
idaes/core/util/diagnostics_tools/tests/test_writer_utils.py,unit,4
idaes/core/util/structfs/tests/test_fsrunner.py,unit,8
idaes/core/util/structfs/tests/test_logutil.py,unit,1
idaes/core/util/structfs/tests/test_runner.py,unit,11
idaes/core/util/structfs/tests/test_runner_actions.py,component,1
idaes/core/util/structfs/tests/test_runner_actions.py,unit,6
idaes/core/util/tests/test_config.py,unit,16
idaes/core/util/tests/test_dyn_utils.py,unit,8
idaes/core/util/tests/test_env_info.py,unit,1
idaes/core/util/tests/test_exceptions.py,unit,8
idaes/core/util/tests/test_initialization.py,integration,1
idaes/core/util/tests/test_initialization.py,skipif,3
idaes/core/util/tests/test_initialization.py,unit,22
idaes/core/util/tests/test_math.py,unit,15
idaes/core/util/tests/test_misc.py,parametrize,2
idaes/core/util/tests/test_misc.py,unit,6
idaes/core/util/tests/test_model_diagnostics.py,unit,2
idaes/core/util/tests/test_model_serializer.py,unit,21
idaes/core/util/tests/test_model_statistics.py,unit,74
idaes/core/util/tests/test_parameter_sweep.py,component,10
idaes/core/util/tests/test_parameter_sweep.py,integration,4
idaes/core/util/tests/test_parameter_sweep.py,solver,3
idaes/core/util/tests/test_parameter_sweep.py,unit,43
idaes/core/util/tests/test_phase_equilibria.py,component,3
idaes/core/util/tests/test_phase_equilibria.py,skipif,2
idaes/core/util/tests/test_phase_equilibria.py,unit,1
idaes/core/util/tests/test_pid_initialization.py,component,1
idaes/core/util/tests/test_pid_initialization.py,skipif,1
idaes/core/util/tests/test_scaling.py,component,1
idaes/core/util/tests/test_scaling.py,integration,1
idaes/core/util/tests/test_scaling.py,skipif,4
idaes/core/util/tests/test_scaling.py,unit,172
idaes/core/util/tests/test_scip_for_testing.py,unit,1
idaes/core/util/tests/test_tables.py,unit,20
idaes/core/util/tests/test_tags.py,unit,14
idaes/core/util/tests/test_testing.py,unit,22
idaes/core/util/tests/test_units_of_measurement.py,unit,10
idaes/core/util/tests/test_utility_minimization.py,skipif,2
idaes/core/util/tests/test_utility_minimization.py,solver,2
idaes/core/util/tests/test_utility_minimization.py,unit,6
idaes/models/control/tests/test_antiwindup.py,component,3
idaes/models/control/tests/test_antiwindup.py,skipif,3
idaes/models/control/tests/test_controller.py,component,6
idaes/models/control/tests/test_controller.py,unit,12
idaes/models/control/tests/test_pid_pump.py,integration,1
idaes/models/control/tests/test_pid_pump.py,skipif,1
idaes/models/control/tests/test_steam_tank_pressure.py,integration,4
idaes/models/control/tests/test_steam_tank_pressure.py,skipif,4
