file,line,class,method,owner,message
idaes/core/base/control_volume_base.py,1433,ControlVolumeBlockData,add_total_enthalpy_balances,ControlVolumeBlockData.add_total_enthalpy_balances,NotImplementedError('{} control volume class has not implemented a method for add_total_enthalpy_balances. Please contact the developer of the ControlVolume ...
idaes/core/base/control_volume_base.py,1446,ControlVolumeBlockData,add_phase_energy_balances,ControlVolumeBlockData.add_phase_energy_balances,NotImplementedError('{} control volume class has not implemented a method for add_phase_energy_balances. Please contact the developer of the ControlVolume cl...
idaes/core/base/control_volume_base.py,1459,ControlVolumeBlockData,add_total_energy_balances,ControlVolumeBlockData.add_total_energy_balances,NotImplementedError('{} control volume class has not implemented a method for add_total_energy_balances. Please contact the developer of the ControlVolume cl...
idaes/core/base/control_volume_base.py,1471,ControlVolumeBlockData,add_isothermal_constraint,ControlVolumeBlockData.add_isothermal_constraint,NotImplementedError(f'{self.name} control volume class has not implemented a method for add_isothermal_constraint. Please contact the developer of the Contro...
idaes/core/base/control_volume_base.py,1484,ControlVolumeBlockData,add_phase_pressure_balances,ControlVolumeBlockData.add_phase_pressure_balances,NotImplementedError('{} control volume class has not implemented a method for add_phase_pressure_balances. Please contact the developer of the ControlVolume ...
idaes/core/base/control_volume_base.py,1496,ControlVolumeBlockData,add_total_pressure_balances,ControlVolumeBlockData.add_total_pressure_balances,NotImplementedError('{} control volume class has not implemented a method for add_total_pressure_balances. Please contact the developer of the ControlVolume ...
idaes/core/base/control_volume_base.py,1509,ControlVolumeBlockData,add_phase_momentum_balances,ControlVolumeBlockData.add_phase_momentum_balances,NotImplementedError('{} control volume class has not implemented a method for add_phase_momentum_balances. Please contact the developer of the ControlVolume ...
idaes/core/base/control_volume_base.py,1521,ControlVolumeBlockData,add_total_momentum_balances,ControlVolumeBlockData.add_total_momentum_balances,NotImplementedError('{} control volume class has not implemented a method for add_total_momentum_balances. Please contact the developer of the ControlVolume ...
idaes/core/base/costing_base.py,261,FlowsheetCostingBlockData,build_global_params,FlowsheetCostingBlockData.build_global_params,NotImplementedError('Derived class has not defined a build_global_params method.')
idaes/core/base/costing_base.py,278,FlowsheetCostingBlockData,build_process_costs,FlowsheetCostingBlockData.build_process_costs,NotImplementedError('Derived class has not defined a build_process_costs method.')
idaes/core/base/costing_base.py,289,FlowsheetCostingBlockData,initialize_build,FlowsheetCostingBlockData.initialize_build,NotImplementedError('Derived class has not defined an initialize_build method.')
idaes/core/base/property_base.py,354,StateBlock,fix_initialization_states,StateBlock.fix_initialization_states,NotImplementedError
idaes/core/base/property_base.py,368,StateBlock,initialize,StateBlock.initialize,NotImplementedError('{} property package has not implemented an initialize method. Please contact the property package developer'.format(self.name))
idaes/core/base/property_base.py,672,StateBlockData,define_state_vars,StateBlockData.define_state_vars,NotImplementedError(f'{self.name} property package has not implemented the define_state_vars method. Please contact the property package developer.')
